onset	duration	trial_type
10.000	1.500	+fill0
16.000	1.500	+fill1
22.000	1.500	+fill2
28.000	1.500	friend3
34.000	1.500	control4
40.000	1.500	blank
46.000	1.500	friend2
52.000	1.500	friend4
58.000	1.500	oddball3
64.000	1.500	self
70.000	1.500	control1
76.000	1.500	control3
82.000	1.500	control2
88.000	1.500	friend1
94.000	1.500	friend1
100.000	1.500	control4
106.000	1.500	friend3
112.000	1.500	control2
118.000	1.500	friend2
124.000	1.500	self
130.000	1.500	oddball2
132.100	0.100	motor
136.000	1.500	control1
142.000	1.500	blank
148.000	1.500	control3
154.000	1.500	friend4
160.000	1.500	friend4
166.000	1.500	control4
172.000	1.500	friend1
178.000	1.500	control2
184.000	1.500	oddball1
185.600	0.100	motor
190.000	1.500	blank
196.000	1.500	self
202.000	1.500	friend3
208.000	1.500	control3
214.000	1.500	control1
220.000	1.500	friend2
226.000	1.500	friend2
232.000	1.500	control4
238.000	1.500	control3
244.000	1.500	blank
250.000	1.500	friend4
256.000	1.500	friend3
262.000	1.500	oddball4
263.600	0.100	motor
268.000	1.500	control2
274.000	1.500	control1
280.000	1.500	friend1
286.000	1.500	self
292.000	1.500	+fill3
