onset	duration	trial_type
10.000	1.500	+fill0
16.000	1.500	+fill1
22.000	1.500	+fill2
28.000	1.500	control4
34.000	1.500	control1
40.000	1.500	oddball2
41.600	0.100	motor
46.000	1.500	friend3
52.000	1.500	blank
58.000	1.500	self
64.000	1.500	friend1
70.000	1.500	control3
76.000	1.500	friend2
82.000	1.500	friend4
88.000	1.500	control2
94.000	1.500	control2
100.000	1.500	friend1
106.000	1.500	friend2
112.000	1.500	self
118.000	1.500	control3
124.000	1.500	control4
130.000	1.500	blank
136.000	1.500	friend3
142.000	1.500	oddball1
143.300	0.100	motor
148.000	1.500	friend4
154.000	1.500	control1
160.000	1.500	control1
166.000	1.500	self
172.000	1.500	friend4
178.000	1.500	control2
184.000	1.500	blank
190.000	1.500	control4
196.000	1.500	friend2
202.000	1.500	oddball4
203.800	0.100	motor
208.000	1.500	friend3
214.000	1.500	friend1
220.000	1.500	control3
226.000	1.500	control3
232.000	1.500	friend1
238.000	1.500	blank
244.000	1.500	control2
250.000	1.500	friend4
256.000	1.500	self
262.000	1.500	control4
268.000	1.500	oddball3
269.300	0.100	motor
274.000	1.500	friend2
280.000	1.500	control1
286.000	1.500	friend3
292.000	1.500	+fill3
