onset	duration	trial_type
10.000	1.500	+fill0
16.000	1.500	+fill1
22.000	1.500	+fill2
28.000	1.500	control3
34.000	1.500	friend1
40.000	1.500	self
46.000	1.500	friend2
52.000	1.500	control1
58.000	1.500	friend4
64.000	1.500	blank
70.000	1.500	control2
76.000	1.500	oddball4
77.400	0.100	motor
82.000	1.500	friend3
88.000	1.500	control4
94.000	1.500	control4
100.000	1.500	friend2
106.000	1.500	friend4
112.000	1.500	control3
118.000	1.500	friend3
124.000	1.500	self
130.000	1.500	friend1
136.000	1.500	blank
142.000	1.500	oddball2
143.800	0.100	motor
148.000	1.500	control1
154.000	1.500	control2
160.000	1.500	control2
166.000	1.500	control1
172.000	1.500	friend3
178.000	1.500	control3
184.000	1.500	friend2
190.000	1.500	self
196.000	1.500	control4
202.000	1.500	oddball1
203.500	0.100	motor
208.000	1.500	blank
214.000	1.500	friend1
220.000	1.500	friend4
226.000	1.500	friend4
232.000	1.500	control2
238.000	1.500	blank
244.000	1.500	friend2
250.000	1.500	friend3
256.000	1.500	oddball3
257.800	0.100	motor
262.000	1.500	friend1
268.000	1.500	control4
274.000	1.500	control3
280.000	1.500	self
286.000	1.500	control1
292.000	1.500	+fill3
