onset	duration	trial_type
10.000	1.500	+fill0
16.000	1.500	+fill1
22.000	1.500	+fill2
28.000	1.500	self
34.000	1.500	friend2
40.000	1.500	blank
46.000	1.500	oddball2
52.000	1.500	friend1
58.000	1.500	friend4
64.000	1.500	control3
70.000	1.500	friend3
76.000	1.500	control1
82.000	1.500	control2
88.000	1.500	control4
94.000	1.500	control4
100.000	1.500	self
106.000	1.500	friend1
112.000	1.500	control1
118.000	1.500	friend4
124.000	1.500	blank
130.000	1.500	friend3
136.000	1.500	friend2
142.000	1.500	control2
148.000	1.500	control3
154.000	1.500	oddball3
155.400	0.100	motor
160.000	1.500	oddball1
161.200	0.100	motor
166.000	1.500	friend4
172.000	1.500	control1
178.000	1.500	control4
184.000	1.500	control2
190.000	1.500	self
196.000	1.500	control3
202.000	1.500	friend2
208.000	1.500	friend1
214.000	1.500	friend3
220.000	1.500	blank
226.000	1.500	blank
232.000	1.500	control1
238.000	1.500	oddball4
239.300	0.100	motor
244.000	1.500	control3
250.000	1.500	control4
256.000	1.500	friend4
262.000	1.500	friend1
268.000	1.500	friend2
274.000	1.500	friend3
280.000	1.500	self
286.000	1.500	control2
292.000	1.500	+fill3
