onset	duration	trial_type
10.000	1.500	+fill0
16.000	1.500	+fill1
22.000	1.500	+fill2
28.000	1.500	control2
34.000	1.500	oddball4
35.600	0.100	motor
40.000	1.500	friend3
46.000	1.500	friend1
52.000	1.500	friend4
58.000	1.500	control1
64.000	1.500	control4
70.000	1.500	friend2
76.000	1.500	self
82.000	1.500	control3
88.000	1.500	blank
94.000	1.500	blank
100.000	1.500	control2
106.000	1.500	friend2
112.000	1.500	control4
118.000	1.500	friend3
124.000	1.500	oddball2
124.900	0.100	motor
130.000	1.500	control1
136.000	1.500	control3
142.000	1.500	friend1
148.000	1.500	self
154.000	1.500	friend4
160.000	1.500	friend4
166.000	1.500	oddball1
167.400	0.100	motor
172.000	1.500	control2
178.000	1.500	friend1
184.000	1.500	control3
190.000	1.500	control1
196.000	1.500	self
202.000	1.500	control4
208.000	1.500	blank
214.000	1.500	friend2
220.000	1.500	friend3
226.000	1.500	friend3
232.000	1.500	blank
238.000	1.500	control3
244.000	1.500	friend2
250.000	1.500	control2
256.000	1.500	control1
262.000	1.500	oddball3
263.400	0.100	motor
268.000	1.500	friend4
274.000	1.500	control4
280.000	1.500	self
286.000	1.500	friend1
292.000	1.500	+fill3
