onset	duration	trial_type
10.000	1.500	+fill0
11.900	0.100	motor
16.000	1.500	+fill1
22.000	1.500	+fill2
28.000	1.500	friend1
34.000	1.500	control2
40.000	1.500	friend3
46.000	1.500	blank
52.000	1.500	friend4
58.000	1.500	oddball1
59.900	0.100	motor
64.000	1.500	friend2
70.000	1.500	control3
76.000	1.500	control4
82.000	1.500	control1
88.000	1.500	self
94.000	1.500	self
100.000	1.500	friend4
106.000	1.500	control4
112.000	1.500	friend3
118.000	1.500	friend2
124.000	1.500	blank
130.000	1.500	control3
136.000	1.500	control2
142.000	1.500	friend1
148.000	1.500	control1
154.000	1.500	oddball3
156.100	0.100	motor
160.000	1.500	oddball2
161.800	0.100	motor
166.000	1.500	control2
172.000	1.500	friend2
178.000	1.500	control4
184.000	1.500	self
190.000	1.500	friend3
196.000	1.500	friend4
202.000	1.500	friend1
208.000	1.500	control3
214.000	1.500	control1
220.000	1.500	blank
226.000	1.500	blank
232.000	1.500	friend3
238.000	1.500	control1
244.000	1.500	control4
250.000	1.500	friend1
256.000	1.500	oddball4
258.200	0.100	motor
262.000	1.500	friend4
268.000	1.500	friend2
274.000	1.500	control2
280.000	1.500	self
286.000	1.500	control3
292.000	1.500	+fill3
